"","code","family"
"1","amsp","Amaranthaceae"
"2","apar","Rosaceae"
"3","asteraceae","Asteraceae"
"4","bepe","Asteraceae"
"5","brasiccaceae","Brassicaceae"
"6","cabu","Brassicaceae"
"7","cadi","Cyperaceae"
"8","casp","Brassicaceae"
"9","cegl","Caryophyllaceae"
"10","chsp","Amaranthaceae"
"11","cisp","Asteraceae"
"12","coar","Convolvulaceae"
"13","dagl","Poaceae"
"14","fear","Poaceae"
"15","gedi","Geraniaceae"
"16","gemo","Geraniaceae"
"17","kisp","Plantaginaceae"
"18","lapu","Lamiaceae"
"19","libi","Linaceae"
"20","lyar","Primulaceae"
"21","mean","Euphorbiaceae"
"22","mear","Fabaceae"
"23","melu","Fabaceae"
"24","mydi","Boraginaceae"
"25","orchidaceae","Orchidaceae"
"26","plla","Plantaginaceae"
"27","poaceae","Poaceae"
"28","pore","Rosaceae"
"29","rabu","Ranunculaceae"
"30","rapa","Ranunculaceae"
"31","rucr","Polygonaceae"
"32","shar","Rubeaceae"
"33","sosp","Asteraceae"
"34","tosp","Apieaceae"
"35","trdu","Fabaceae"
"36","trfr","Fabaceae"
"37","trre","Fabaceae"
"38","valo","Caprifoleaceae"
"39","vear","Plantaginaceae"
"40","veof","Verbenaceae"
"41","vepe","Plantaginaceae"
"42","visa","Fabaceae"
