"plot","species","abundance_relative"
"plot 8","brho",0.00136276914690651
"plot 8","fear",0.0558735350231671
"plot 8","gedi",0.107386208776233
"plot 8","mear",0.0122649223221586
"plot 8","poan",0.0231670754974107
"plot 8","pore",0.0599618424638866
"plot 8","rapa",0.103570455164895
"plot 8","tono",0.0299809212319433
"plot 8","visa",0.00136276914690651
"plot 8","apar",0.00136276914690651
"plot 8","coar",0.0558735350231671
"plot 8","elre",0.489234123739439
"plot 8","fear",0.0558735350231671
"plot 8","gedi",0.107386208776233
"plot 8","mear",0.0122649223221586
"plot 8","poan",0.0231670754974107
"plot 8","pore",0.0599618424638866
"plot 8","rapa",0.103570455164895
"plot 8","tono",0.0299809212319433
"plot 8","trre",0.00817661488143908
"plot 8","pore",0.0599618424638866
"plot 8","elre",0.489234123739439
"plot 8","coar",0.0558735350231671
"plot 8","gedi",0.107386208776233
"plot 8","ni_p8_1",0.00136276914690651
"plot 8","shar",0.00408830744071954
"plot 8","to",0.00545107658762606
"plot 8","bepe",0.00817661488143908
"plot 8","elre",0.489234123739439
"plot 8","ni_p8_2",0.00817661488143908
"plot 8","gedi",0.107386208776233
"plot 8","to",0.00545107658762606
"plot 8","shar",0.00408830744071954
"plot 8","rabu",0.00136276914690651
"plot 8","bepe",0.00817661488143908
"plot 8","elre",0.489234123739439
"plot 8","mear",0.0122649223221586
"plot 8","pore",0.0599618424638866
"plot 8","rapa",0.103570455164895
"plot 8","tono",0.0299809212319433
"plot 8","trre",0.00817661488143908
"plot 8","rapa",0.103570455164895
"plot 8","toar",0.0204415372035977
"plot 8","tono",0.0299809212319433
"plot 8","coar",0.0558735350231671
"plot 8","gedi",0.107386208776233
"plot 8","trre",0.00817661488143908
"plot 8","cegl",0.00136276914690651
"plot 8","poan",0.0231670754974107
"plot 8","elre",0.489234123739439
"plot 8","elre",0.489234123739439
"plot 8","coar",0.0558735350231671
"plot 8","pore",0.0599618424638866
"plot 8","elre",0.489234123739439
"plot 8","pore",0.0599618424638866
"plot 8","elre",0.489234123739439
"plot 8","coar",0.0558735350231671
"plot 8","bepe",0.00817661488143908
"plot 8","elre",0.489234123739439
"plot 8","coar",0.0558735350231671
"plot 8","gedi",0.107386208776233
"plot 8","coar",0.0558735350231671
"plot 8","gedi",0.107386208776233
